BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,ZIPCODE,LATITUDE,LONGITUDE,WARD,QUADRANT,SALEYEAR,SALEMONTH,PRICE,PROP CLASS
1,1,Hot Water Rad,Y,1,6,2,1925,>2000,1954,1072.0,1,2 Story,Row Inside,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,11,1585,20003.0,38.88427453,-76.98653399999999,Ward 6,SE,2006,11,525000.0,Lower
2,0,Forced Air,Y,1,6,3,1937,>2000,1964,1152.0,1,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1,0,11,1476,20020.0,38.87321832,-76.97801729999999,Ward 8,SE,2017,7,320000.0,Lower
2,1,Warm Cool,Y,1,6,3,1989,No Remodeling,1998,1920.0,1,2 Story,Semi-Detached,Above Average,Good,Common Brick,Metal- Sms,Wood Floor,1,1,13,2242,20002.0,38.89659777,-77.00121594,Ward 6,NE,1992,12,199000.0,Lower
2,1,Forced Air,Y,1,7,4,1900,>2000,1964,1980.0,1,2.5 Story Fin,Row End,Average,Good,Wood Siding,Neopren,Hardwood,1,2,11,1639,20003.0,38.88237342,-76.99284921,Ward 6,SE,2015,5,925000.0,Middle
2,1,Hot Water Rad,Y,1,8,3,1925,>2000,1967,1188.0,1,2 Story,Row End,Above Average,Good,Common Brick,Built Up,Hardwood,1,0,11,2842,20020.0,38.87176486,-76.97597553,Ward 8,SE,2010,11,247500.0,Lower
1,0,Forced Air,N,1,6,3,1925,No Remodeling,1957,1520.0,1,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood/Carp,1,0,11,1608,20003.0,38.87965102,-76.9821523,Ward 6,SE,2011,1,405000.0,Lower
2,1,Forced Air,Y,1,7,3,1915,>2000,1969,1552.0,1,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1,0,11,1660,20011.0,38.94576441,-77.03428148,Ward 4,NW,2007,6,559000.0,Middle
1,0,Hot Water Rad,Y,1,6,3,1890,>2000,1967,1496.0,1,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,11,1200,20009.0,38.91935142,-77.0289947,Ward 1,NW,2011,3,590000.0,Middle
2,0,Forced Air,Y,2,6,2,1920,No Remodeling,1957,2366.0,1,2 Story,Row End,Above Average,Average,Stucco,Built Up,Hardwood,2,0,24,2480,20002.0,38.89801133,-76.98671989,Ward 6,NE,2008,11,560000.0,Middle
3,1,Forced Air,Y,2,6,4,1907,>2000,1969,1664.0,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2,2,24,1224,20001.0,38.90929184,-77.01491182,Ward 5,NW,2015,1,875000.0,Middle
2,2,Hot Water Rad,N,1,8,5,1900,>2000,1969,2480.0,1,3 Story,Row End,Good Quality,Good,Common Brick,Built Up,Hardwood/Carp,1,1,11,1582,20001.0,38.9161907,-77.01416733,Ward 5,NW,2011,8,656000.0,Middle
2,2,Forced Air,Y,1,7,3,2007,No Remodeling,2011,1784.0,1,2 Story,Row End,Good Quality,Very Good,Brick/Siding,Comp Shingle,Hardwood,1,0,11,3565,20018.0,38.92219232,-76.95932533,Ward 5,NE,2008,1,481420.0,Lower
4,0,Hot Water Rad,N,4,16,8,1936,No Remodeling,1954,2834.0,1,2 Story,Multi,Average,Average,Common Brick,Built Up,Hardwood,4,0,23,3471,20002.0,38.90270524,-76.97991321,Ward 5,NE,2004,8,295000.0,Lower
2,0,Hot Water Rad,N,2,6,2,1909,No Remodeling,1954,1720.0,1,2 Story,Multi,Average,Average,Common Brick,Metal- Sms,Wood Floor,2,0,23,1240,20024.0,38.87522715,-77.00972192,Ward 6,SW,2016,8,520000.0,Lower
3,1,Hot Water Rad,Y,2,9,4,1900,>2000,1967,1740.0,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Wood Floor,2,2,24,1337,20002.0,38.8934261,-77.00137149999999,Ward 6,NE,1997,3,300000.0,Lower
3,1,Forced Air,Y,1,8,4,1925,No Remodeling,1960,2670.0,1,2.5 Story Fin,Single,Good Quality,Average,Common Brick,Slate,Hardwood,1,1,12,5083,20008.0,38.92804616,-77.06222829,Ward 3,NW,1996,11,465000.0,Lower
1,1,Forced Air,N,1,6,3,1942,>2000,1954,1152.0,1,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1,0,11,2520,20001.0,38.92152948,-77.01089547,Ward 5,NW,2017,2,750000.0,Middle
2,2,Forced Air,Y,1,6,3,1981,>2000,1995,2834.0,1,3 Story,Row Inside,Very Good,Good,Common Brick,Slate,Hardwood,1,1,11,2080,20015.0,38.9739626,-77.05579598,Ward 4,NW,2017,7,975000.0,Middle
3,0,Hot Water Rad,N,2,6,4,1908,>2000,1970,1522.0,1,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,2,0,24,2258,20010.0,38.93374237,-77.02756069,Ward 1,NW,2016,9,731500.0,Middle
4,0,Hot Water Rad,N,4,14,4,1944,No Remodeling,1965,2800.0,1,2 Story,Multi,Average,Good,Common Brick,Built Up,Hardwood/Carp,4,0,23,4300,20032.0,38.82420135,-77.01109839,Ward 8,SW,2002,2,121000.0,Lower
1,2,Hot Water Rad,N,1,8,4,1936,No Remodeling,1969,1880.0,1,2 Story,Single,Good Quality,Average,Common Brick,Comp Shingle,Hardwood,1,1,12,3578,20011.0,38.94844414,-77.03415056,Ward 4,NW,2015,7,680000.0,Middle
2,0,Hot Water Rad,Y,1,6,4,1941,>2000,1967,1237.0,1,2 Story,Single,Above Average,Good,Common Brick,Slate,Hardwood,1,1,12,4644,20017.0,38.94324183,-76.98125486,Ward 5,NE,2012,9,448000.0,Lower
3,1,Forced Air,Y,1,7,4,1940,1971-2000,1962,2944.0,1,2.5 Story Fin,Single,Excellent,Average,Brick/Siding,Shingle,Hardwood/Carp,1,3,12,8243,20016.0,38.93954677,-77.09949749,Ward 3,NW,1999,1,675000.0,Middle
2,1,Hot Water Rad,N,2,6,3,1912,1971-2000,1960,1672.0,1,2 Story,Row Inside,Good Quality,Average,Common Brick,Comp Shingle,Hardwood,2,1,24,1985,20010.0,38.9347476,-77.03760657,Ward 1,NW,2004,10,675000.0,Middle
2,0,Forced Air,Y,1,6,3,1907,1971-2000,1964,1152.0,1,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood/Carp,1,0,11,1605,20002.0,38.91170088,-77.00526509999999,Ward 5,NE,2010,2,360000.0,Lower
1,0,Hot Water Rad,N,1,8,4,1913,No Remodeling,1947,1928.0,1,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,1,11,3206,20011.0,38.93859591,-77.02028388,Ward 4,NW,1992,11,124900.0,Lower
4,1,Forced Air,Y,2,11,4,1892,>2000,1984,2064.0,1,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Wood Floor,2,2,24,1253,20003.0,38.88473026,-76.99400386,Ward 6,SE,2005,6,970000.0,Middle
3,1,Forced Air,Y,1,7,4,1941,>2000,1986,2143.0,1,2.5 Story Fin,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1,1,12,4508,20011.0,38.94916714,-77.03224825,Ward 4,NW,2014,10,727500.0,Middle
2,1,Forced Air,Y,1,6,3,1912,>2000,1967,1360.0,1,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood/Carp,1,3,11,1008,20002.0,38.89660856,-76.99793067,Ward 6,NE,2006,10,613500.0,Middle
2,0,Forced Air,Y,1,7,3,1923,>2000,1964,1200.0,1,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,11,1900,20011.0,38.94350497,-77.01694871,Ward 4,NW,2010,9,372000.0,Lower
3,0,Hot Water Rad,N,1,6,3,1923,>2000,1967,1668.0,1,2 Story,Single,Above Average,Average,Aluminum,Comp Shingle,Carpet,1,0,12,6400,20018.0,38.93128663,-76.98004644,Ward 5,NE,2006,8,455000.0,Lower
2,1,Warm Cool,Y,1,9,4,1927,1971-2000,1957,2280.0,1,2 Story,Semi-Detached,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1,2,13,4697,20012.0,38.98138098,-77.02812075,Ward 4,NW,1994,3,218000.0,Lower
2,0,Forced Air,Y,1,6,3,1911,>2000,1982,1108.0,1,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Carpet,1,0,11,1063,20001.0,38.92501136,-77.02627701,Ward 1,NW,2011,8,425000.0,Lower
1,1,Hot Water Rad,N,1,7,3,1956,No Remodeling,1965,1273.0,1,2 Story,Semi-Detached,Average,Average,Common Brick,Comp Shingle,Hardwood,1,0,13,2977,20011.0,38.95364141,-76.99542598,Ward 5,NE,1996,3,130000.0,Lower
3,0,Forced Air,Y,1,8,3,1937,>2000,1964,1224.0,1,2 Story,Row Inside,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,11,1710,20011.0,38.95070374,-77.01275498,Ward 4,NW,2015,5,520000.0,Lower
4,1,Forced Air,Y,1,9,5,1925,1971-2000,1969,2016.0,1,2.5 Story Fin,Single,Good Quality,Good,Stucco,Comp Shingle,Hardwood,1,1,12,9209,20008.0,38.94885564,-77.06197467,Ward 3,NW,2018,3,1350000.0,Upper
1,1,Hot Water Rad,Y,1,9,3,1927,>2000,1969,1670.0,1,2 Story,Semi-Detached,Good Quality,Good,Brick/Stucco,Comp Shingle,Hardwood,1,0,13,2075,20016.0,38.95653307,-77.08839009,Ward 3,NW,1994,7,287000.0,Lower
4,0,Hot Water Rad,N,2,12,6,1943,>2000,1964,2574.0,1,2 Story,Multi,Average,Good,Common Brick,Built Up,Hardwood,2,0,23,6113,20032.0,38.84710671,-77.00406770000001,Ward 8,SE,2010,3,299000.0,Lower
3,1,Hot Water Rad,N,2,6,4,1909,>2000,1967,1692.0,1,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,1,24,1650,20010.0,38.93333823,-77.03157745,Ward 1,NW,2010,4,424000.0,Lower
2,1,Warm Cool,Y,1,6,3,1810,1971-2000,1975,1520.0,1,2.5 Story Fin,Row End,Excellent,Good,Stucco,Metal- Sms,Hardwood,1,1,11,1094,20007.0,38.90783691,-77.05722359,Ward 2,NW,2004,10,1140000.0,Upper
3,1,Hot Water Rad,Y,1,8,3,1924,>2000,1986,1840.0,1,2 Story,Row End,Good Quality,Good,Stucco,Metal- Sms,Hardwood,1,4,11,4328,20011.0,38.95644434,-77.03140586,Ward 4,NW,2013,7,707000.0,Middle
2,1,Hot Water Rad,N,1,6,3,1925,No Remodeling,1954,1764.0,1,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,1,0,11,1358,20002.0,38.91718349,-77.00614024,Ward 5,NE,2017,6,600000.0,Middle
2,2,Ht Pump,Y,1,6,3,1979,No Remodeling,1994,2834.0,1,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,1,1,11,2080,20015.0,38.9743703,-77.05582895,Ward 4,NW,2006,1,936000.0,Middle
2,1,Hot Water Rad,Y,1,6,4,1936,>2000,1964,2266.0,1,2.5 Story Fin,Single,Good Quality,Good,Brick/Siding,Comp Shingle,Hardwood,1,1,12,4700,20016.0,38.95626446,-77.08884455,Ward 3,NW,2000,8,388000.0,Lower
3,0,Forced Air,Y,1,8,4,1933,>2000,1980,1260.0,1,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Wood Floor,1,0,11,1316,20003.0,38.88848812,-76.99679303,Ward 6,SE,2013,1,989000.0,Middle
3,1,Forced Air,Y,1,10,4,1929,>2000,1967,2004.0,1,3 Story,Single,Above Average,Good,Common Brick,Comp Shingle,Hardwood,1,0,12,2895,20020.0,38.86876898,-76.98056033,Ward 8,SE,2017,6,515000.0,Lower
3,1,Hot Water Rad,Y,2,7,4,1913,>2000,1982,1618.0,1,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,2,0,24,1861,20010.0,38.93643171,-77.03405311,Ward 1,NW,2014,8,769000.0,Middle
4,1,Hot Water Rad,N,1,8,3,1929,1971-2000,1957,2628.0,1,2.5 Story Fin,Single,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1,1,12,5764,20015.0,38.96785276,-77.07077261,Ward 3,NW,1996,9,372500.0,Lower
2,1,Forced Air,Y,1,6,3,2008,No Remodeling,2011,1632.0,1,2 Story,Row Inside,Above Average,Very Good,Vinyl Siding,Comp Shingle,Carpet,1,0,11,1581,20019.0,38.88101491,-76.93013549,Ward 7,SE,2009,9,315000.0,Lower
1,1,Hot Water Rad,N,1,9,3,1916,No Remodeling,1957,1450.0,1,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood,1,0,11,1361,20002.0,38.89422398,-76.98623864,Ward 6,NE,2003,11,200000.0,Lower
3,1,Warm Cool,Y,1,7,4,1850,>2000,1996,2976.0,1,3 Story,Semi-Detached,Exceptional-A,Good,Common Brick,Metal- Sms,Hardwood,1,3,13,1998,20007.0,38.90984782,-77.05798387,Ward 2,NW,2002,11,1350000.0,Upper
2,1,Forced Air,Y,2,8,3,1969,>2000,1984,1229.0,1,2 Story,Row Inside,Above Average,Good,Common Brick,Neopren,Hardwood,2,2,24,1514,20003.0,38.88035809,-76.99867266,Ward 6,SE,2015,8,789000.0,Middle
2,0,Hot Water Rad,Y,1,6,3,1910,>2000,1967,1356.0,1,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,11,1425,20003.0,38.87857326,-76.98473376,Ward 6,SE,2017,3,772500.0,Middle
1,0,Hot Water Rad,N,1,6,3,1925,No Remodeling,1954,1178.0,1,2 Story,Row End,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,11,1914,20011.0,38.94898434,-77.02138784,Ward 4,NW,1992,3,89000.0,Lower
2,1,Warm Cool,Y,1,8,3,1986,No Remodeling,1998,2684.0,1,2 Story,Single,Very Good,Good,Wood Siding,Comp Shingle,Hardwood,1,1,12,5977,20015.0,38.96078371,-77.06016492,Ward 4,NW,2018,2,930000.0,Middle
2,1,Hot Water Rad,N,1,4,2,1924,No Remodeling,1943,572.0,1,1 Story,Single,Average,Fair,Wood Siding,Comp Shingle,Wood Floor,1,0,12,3106,20019.0,38.90270002,-76.93444417,Ward 7,NE,2018,1,260000.0,Lower
2,1,Forced Air,Y,1,6,3,2008,No Remodeling,2011,1632.0,1,2 Story,Row Inside,Above Average,Very Good,Vinyl Siding,Comp Shingle,Carpet,1,0,11,2173,20019.0,38.88260082,-76.92992083,Ward 7,SE,2013,1,295000.0,Lower
2,1,Forced Air,Y,1,6,3,1939,>2000,1969,2220.0,1,2 Story,Single,Good Quality,Average,Common Brick,Comp Shingle,Hardwood,1,2,12,5265,20016.0,38.94651936,-77.07302559,Ward 3,NW,2000,7,495000.0,Lower
1,0,Hot Water Rad,N,1,5,2,1909,1971-2000,1957,1089.0,1,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Wood Floor,1,1,11,1333,20003.0,38.8838723,-76.98498228,Ward 6,SE,2001,9,239000.0,Lower
3,1,Warm Cool,Y,1,7,4,1955,>2000,1977,1360.0,1,2 Story,Row End,Good Quality,Average,Common Brick,Built Up,Hardwood,1,1,11,3960,20015.0,38.95761313,-77.06872538,Ward 3,NW,2017,5,721000.0,Middle
4,0,Hot Water Rad,Y,2,9,5,1900,>2000,1982,2084.0,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2,1,24,1261,20002.0,38.89119838,-76.99442173,Ward 6,NE,2013,5,1185000.0,Upper
3,1,Forced Air,Y,1,6,3,1922,>2000,1978,1452.0,1,2 Story,Row Inside,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,11,2566,20011.0,38.94228655,-77.01787688,Ward 4,NW,2014,3,685000.0,Middle
3,1,Warm Cool,Y,1,7,4,2010,No Remodeling,2013,1485.0,1,3 Story,Row End,Above Average,Very Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,0,13,1842,20020.0,38.850157,-76.98125431,Ward 8,SE,2010,10,276180.0,Lower
1,1,Forced Air,N,1,6,3,1952,No Remodeling,1962,1080.0,1,2 Story,Semi-Detached,Average,Average,Common Brick,Comp Shingle,Hardwood,1,0,13,3014,20017.0,38.95140895,-76.99307394,Ward 5,NE,1993,12,110500.0,Lower
3,1,Forced Air,Y,1,8,3,2017,No Remodeling,2017,1476.0,1,2 Story,Row End,Above Average,Very Good,Face Brick,Comp Shingle,Hardwood,1,0,11,2356,20032.0,38.84046284,-76.99121121,Ward 8,SE,2018,5,419380.0,Lower
2,0,Forced Air,Y,2,6,3,1952,>2000,1962,1184.0,1,2 Story,Multi,Average,Average,Common Brick,Built Up,Hardwood,2,0,23,3504,20019.0,38.89638878,-76.91616579999999,Ward 7,NE,2017,7,275000.0,Lower
4,0,Hot Water Rad,N,4,16,8,1936,No Remodeling,1954,2960.0,1,2 Story,Multi,Average,Average,Common Brick,Built Up,Hardwood,4,0,23,3122,20011.0,38.95156951,-77.01370909,Ward 4,NW,2017,6,665999.0,Middle
3,0,Hot Water Rad,Y,1,7,3,1925,>2000,1972,1808.0,1,2 Story,Semi-Detached,Very Good,Good,Common Brick,Slate,Hardwood,1,1,13,2145,20008.0,38.92921325,-77.05950985,Ward 3,NW,1995,7,390000.0,Lower
2,2,Warm Cool,Y,1,8,3,1984,No Remodeling,1996,1925.0,1,2 Story,Single,Good Quality,Good,Common Brick,Comp Shingle,Wood Floor,1,3,12,8104,20011.0,38.96162818,-77.03538246,Ward 4,NW,2004,3,580000.0,Middle
2,1,Forced Air,Y,1,7,3,2016,No Remodeling,2017,1520.0,1,2 Story,Row Inside,Above Average,Very Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1,0,11,960,20019.0,38.90065888,-76.95150851,Ward 7,NE,2016,4,419435.0,Lower
2,1,Warm Cool,Y,2,8,3,1976,No Remodeling,1995,2016.0,1,3 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood,2,2,24,1457,20009.0,38.91468919,-77.04218931,Ward 2,NW,2006,5,895000.0,Middle
3,1,Forced Air,Y,1,10,4,1922,>2000,1978,1482.0,1,2 Story,Row Inside,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,11,1813,20011.0,38.95822811,-77.02611434,Ward 4,NW,2015,4,629000.0,Middle
2,1,Warm Cool,Y,1,7,4,1910,1971-2000,1987,1280.0,1,2 Story,Row End,Exceptional-A,Average,Common Brick,Metal- Sms,Hardwood,1,2,11,1440,20007.0,38.91222616,-77.05844274,Ward 2,NW,2004,4,890000.0,Middle
3,1,Warm Cool,Y,1,8,4,1999,No Remodeling,2008,2187.0,1,2 Story,Single,Excellent,Good,Wood Siding,Comp Shingle,Hardwood,1,0,12,5000,20016.0,38.92290635,-77.09959927,Ward 3,NW,2000,5,550000.0,Middle
3,0,Forced Air,Y,2,8,4,1923,>2000,1969,2042.0,1,2.5 Story Fin,Row Inside,Good Quality,Average,Common Brick,Comp Shingle,Hardwood/Carp,2,0,24,1658,20001.0,38.91576027,-77.00996671,Ward 5,NW,2003,11,278000.0,Lower
3,1,Forced Air,Y,1,8,5,1951,>2000,1982,2402.0,1,2 Story,Single,Excellent,Good,Common Brick,Slate,Hardwood,1,2,12,6000,20015.0,38.95680948,-77.07755452,Ward 3,NW,2010,3,1229000.0,Upper
2,0,Forced Air,Y,1,5,3,1890,>2000,1969,1698.0,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,1,1,11,1295,20003.0,38.88522778,-77.0040942,Ward 6,SE,2010,12,862000.0,Middle
3,0,Warm Cool,Y,1,11,3,1940,No Remodeling,1969,1826.0,1,2 Story,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1,1,12,5100,20016.0,38.94649692,-77.09374244,Ward 3,NW,2017,4,1144000.0,Upper
3,1,Warm Cool,Y,1,12,5,1920,>2000,1969,2496.0,1,2 Story,Single,Good Quality,Average,Vinyl Siding,Slate,Hardwood,1,1,12,5400,20016.0,38.94691746,-77.07677859,Ward 3,NW,2012,8,1090000.0,Upper
2,0,Warm Cool,N,1,5,2,1944,>2000,1965,810.0,1,2 Story,Semi-Detached,Average,Good,Vinyl Siding,Comp Shingle,Hardwood,1,0,13,2420,20019.0,38.90292858,-76.92588669,Ward 7,NE,2018,3,297800.0,Lower
1,1,Hot Water Rad,N,1,6,3,1890,No Remodeling,1969,1576.0,1,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1,0,11,1347,20002.0,38.89219222,-76.98966438,Ward 6,NE,2012,4,585000.0,Middle
3,1,Forced Air,Y,1,7,4,1912,>2000,1967,1620.0,1,2 Story,Row Inside,Above Average,Very Good,Common Brick,Built Up,Hardwood/Carp,1,0,11,2450,20001.0,38.92000754,-77.01071846,Ward 5,NW,2013,2,783000.0,Middle
2,2,Hot Water Rad,Y,1,10,4,1900,>2000,1983,2080.0,1,3 Story,Row Inside,Superior,Very Good,Common Brick,Metal- Sms,Hardwood,1,2,11,1833,20007.0,38.90940339,-77.06312484,Ward 2,NW,2000,5,825000.0,Middle
1,1,Forced Air,Y,1,6,3,1900,>2000,1964,1512.0,1,2 Story,Single,Average,Very Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,1,12,6400,20018.0,38.92994582,-76.97751439,Ward 5,NE,2016,8,642500.0,Middle
1,2,Forced Air,Y,1,6,3,1939,No Remodeling,1960,1590.0,1,2 Story,Single,Good Quality,Average,Common Brick,Comp Shingle,Hardwood,1,1,12,4625,20008.0,38.94724984,-77.07038313,Ward 3,NW,1995,5,207500.0,Lower
2,0,Hot Water Rad,N,1,6,3,1923,No Remodeling,1964,1520.0,1,2 Story,Row Inside,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,11,2088,20011.0,38.94269425,-77.01738627,Ward 4,NW,2007,11,415000.0,Lower
1,1,Forced Air,Y,1,5,2,1945,>2000,1965,832.0,1,2 Story,Semi-Detached,Average,Good,Common Brick,Comp Shingle,Hardwood,1,0,13,1435,20019.0,38.89219071,-76.91058996,Ward 7,NE,2015,6,224888.0,Lower
2,1,Forced Air,Y,1,7,4,1900,>2000,1964,1440.0,1,2 Story,Single,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,12,3600,20020.0,38.8731556,-76.97357349,Ward 8,SE,2016,2,425000.0,Lower
2,0,Hot Water Rad,N,2,6,3,1926,>2000,1967,1054.0,1,2 Story,Semi-Detached,Above Average,Good,Common Brick,Built Up,Hardwood,2,1,13,1144,20011.0,38.96567861,-77.02291644,Ward 4,NW,2011,2,289000.0,Lower
2,0,Hot Water Rad,N,1,6,3,1905,No Remodeling,1957,1488.0,1,2 Story,Single,Above Average,Average,Stucco,Comp Shingle,Wood Floor,1,0,12,4409,20018.0,38.92988669,-76.96974841,Ward 5,NE,2017,6,320500.0,Lower
